,data,SO2_c,CO_c,NO2_c,PM10_c,O3_c,SO2_ldv,CO_ldv,NO2_ldv,PM10_ldv,O3_ldv
0,2017-01-01,0.027,0.093,0.59,3.0,0.37,0.028654098360655737,0.039,0.27,1.1,0.16
1,2017-01-02,0.016,0.036,0.4,0.44,0.39,0.028654098360655737,0.039,0.27,0.36,0.19
2,2017-01-03,0.011,0.015,0.37,0.23,0.45,0.028654098360655737,0.039,0.35,0.15,0.47
3,2017-01-04,0.016,0.021,0.44,0.25,0.29,0.028654098360655737,0.053,0.45,0.23,0.31
4,2017-01-05,0.017,0.048,0.47,0.33,0.16,0.028654098360655737,0.061,0.33,0.31,0.23
5,2017-01-06,0.023,0.065,0.48,0.48,0.31,0.028654098360655737,0.077,0.43,0.44,0.35
6,2017-01-07,0.02,0.052,0.39,0.37,0.28,0.028654098360655737,0.051,0.31,0.37,0.25
7,2017-01-08,0.025,0.075,0.67,0.63,0.43,0.028654098360655737,0.061,0.45,0.56,0.49
8,2017-01-09,0.039,0.08,0.6,0.55,0.35,0.028654098360655737,0.079,0.45,0.52,0.45
9,2017-01-10,0.041,0.1,0.57,0.68,0.28,0.028654098360655737,0.11,0.49,0.68,0.24
10,2017-01-11,0.028,0.047,0.45,0.35,0.37,0.028654098360655737,0.069,0.44,0.36,0.33
11,2017-01-12,0.029,0.075,0.51,0.55,0.24,0.028654098360655737,0.096,0.37,0.71,0.25
12,2017-01-13,0.023,0.043,0.59,0.36,0.49,0.028654098360655737,0.048,0.53,0.52,0.49
13,2017-01-14,0.027,0.055,0.55,0.44,0.51,0.028654098360655737,0.075,0.52,0.59,0.41
14,2017-01-15,0.016,0.039,0.43,0.25,0.43,0.028654098360655737,0.049,0.51,0.35,0.44
15,2017-01-16,0.027,0.027,0.56,0.23,0.45,0.028654098360655737,0.052,0.67,0.47,0.48
16,2017-01-17,0.015,0.027,0.51,0.17,0.43,0.028654098360655737,0.051,0.47,0.2,0.45
17,2017-01-18,0.02,0.027,0.45,0.19,0.41,0.028654098360655737,0.048,0.4,0.19,0.45
18,2017-01-19,0.024,0.035,0.48,0.27,0.43,0.028654098360655737,0.056,0.43,0.33,0.51
19,2017-01-20,0.041,0.079,0.59,0.6,0.4,0.01,0.092,0.53,0.69,0.37
20,2017-01-21,0.045,0.085,0.65,0.61,0.31,0.028654098360655737,0.088,0.56,0.68,0.27
21,2017-01-22,0.019,0.093,0.67,0.65,0.48,0.028654098360655737,0.11,0.48,0.71,0.55
22,2017-01-23,0.02,0.043,0.52,0.36,0.57,0.028654098360655737,0.053,0.45,0.33,0.56
23,2017-01-24,0.035,0.095,0.64,0.65,0.41,0.028654098360655737,0.1,0.55,0.73,0.4
24,2017-01-25,0.023,0.087,0.75,0.76,0.51,0.028654098360655737,0.088,0.53,0.89,0.49
25,2017-01-26,0.013,0.053,0.56,0.55,0.52,0.028654098360655737,0.045,0.45,0.52,0.68
26,2017-01-27,0.01,0.023,0.52,0.25,0.47,0.028654098360655737,0.063,0.52,0.25,0.56
27,2017-01-28,0.017,0.043,0.56,0.33,0.48,0.028654098360655737,0.059,0.53,0.32,0.48
28,2017-01-29,0.013,0.023,0.35,0.21,0.49,0.028654098360655737,0.037,0.23,0.17,0.57
29,2017-01-30,0.013,0.024,0.4,0.17,0.49,0.028654098360655737,0.061,0.33,0.23,0.55
30,2017-01-31,0.011,0.02,0.47,0.16,0.55,0.028654098360655737,0.029,0.45,0.12,0.56
31,2017-02-01,0.013,0.036,0.43,0.23,0.41,0.028654098360655737,0.059,0.55,0.31,0.47
32,2017-02-02,0.013,0.023,0.24,0.33,0.55,0.028654098360655737,0.02,0.21,0.31,0.64
33,2017-02-03,0.016,0.017,0.37,0.56,0.69,0.028654098360655737,0.024,0.23,0.45,0.69
34,2017-02-04,0.01,0.015,0.24,0.55,0.69,0.028654098360655737,0.029,0.24,0.55,0.65
35,2017-02-05,0.01,0.013,0.087,0.33,0.72,0.028654098360655737,0.029,0.16,0.31,0.68
36,2017-02-06,0.016,0.02,0.36,0.31,0.64,0.028654098360655737,0.021,0.24,0.35,0.61
37,2017-02-07,0.02,0.015,0.32,0.33,0.57,0.028654098360655737,0.037,0.53,0.31,0.56
38,2017-02-08,0.028,0.032,0.53,0.36,0.61,0.028654098360655737,0.032,0.59,0.36,0.56
39,2017-02-09,0.027,0.053,0.53,0.45,0.59,0.028654098360655737,0.06,0.48,0.53,0.48
40,2017-02-10,0.016,0.033,0.27,0.27,0.71,0.028654098360655737,0.032,0.31,0.2,0.69
41,2017-02-11,0.027,0.056,0.59,0.41,0.53,0.028654098360655737,0.057,0.47,0.23,0.52
